"Agence","Typologie_gare","Niveau_service","Code_UIC","Gare","Infos","Deplacement","Proprete","Agreable","Satisfaction","Services","Note_Moyenne","notes_moy"
"Nelle Aquitaine",123,2,586008,"AGEN",8.14,8.72,8.24,7.64,7.7,8.22,8.11,8.11
"Nelle Aquitaine",123,2,583005,"ANGOULEME",9,8.78,8.95,8.57,8.25,8.53,8.68,8.68
"Nelle Aquitaine",123,2,673004,"BAYONNE",8.59,8.13,8.44,8.11,7.5,7.57,8.05666666666667,8.05666666666667
"Nelle Aquitaine",123,2,673400,"BIARRITZ",8.2,8.48,8.76,8.16,7.48,8.03,8.185,8.185
"Nelle Aquitaine",123,2,594002,"BRIVE LA GAILLARDE",9.02,9.08,8.92,8.83,8.39,8.6,8.80666666666667,8.80666666666667
"Nelle Aquitaine",123,2,575142,"CHATELLERAULT",8.58,8.69,8.6,8.45,7.99,8.42,8.455,8.455
"Nelle Aquitaine",123,2,673202,"DAX",8.58,8.4,8.43,7.9,7.69,7.68,8.11333333333333,8.11333333333333
"Nelle Aquitaine",123,2,485003,"LA ROCHELLE VILLE",8.08,8.22,8.12,7.91,7.88,7.61,7.97,7.97
"Nelle Aquitaine",123,2,584052,"LIBOURNE",8.56,8.67,7.75,7.62,7.38,8.18,8.02666666666667,8.02666666666667
"Nelle Aquitaine",123,2,592006,"LIMOGES BENEDICTINS",8.57,8.71,8.58,8.15,8.13,7.65,8.29833333333333,8.29833333333333
"Nelle Aquitaine",123,2,485300,"NIORT",8.57,8.22,8.52,8.26,7.94,8.37,8.31333333333333,8.31333333333333
"Nelle Aquitaine",123,2,672006,"PAU",9.04,8.69,9.01,8.36,8.2,8.47,8.62833333333333,8.62833333333333
"Nelle Aquitaine",123,2,575001,"POITIERS",8.65,8.44,8.11,7.8,7.4,8.02,8.07,8.07
